chr6	96641865
chr6	142450091
chr6	123853574
chr5	49427720
chr5	49546163
chr4	70131233
chr4	49534596
chr4	80768518
chr4	147225015
chr3	41601124
chr3	38625372
chr20	25888545
chr20	29444810
chr20	25895450
chr1	813803
chr9	45393232
chr9	42906104
chr9	43203044
chrX	122663125
chrX	66982750
chr13	107436401
chr12	101548921
chr17	25303552
chr16	33047178
chr16	32103893
chr15	23743543
chr21	9495833
chr21	9555563
chr21	9565331
chr19	27868584
chr8	102695525
chr2	212707176
chr2	132001164
chr2	90402661
chr2	58059935
