chr10	124455119	124455450
chr10	25707401	25707795
chr11	33670113	33670151
chr11	41831787	41831834
chr12	117814151	117814519
chr13	61734375	61734511
chr15	100930889	100931179
chr16	31950972	31951113
chr17	25303526	25303576
chr17	32813587	32813768
chr17	64637197	64637450
chr18	15095141	15095271
chr2	156527822	156527912
chr2	181000499	181000570
chr2	212707169	212707231
chr2	22705795	22706377
chr2	23190860	23191025
chr2	24796747	24796784
chr2	90402661	90402707
chr21	29069147	29069185
chr3	123590630	123590936
chr3	181192823	181192895
chr3	186371186	186372218
chr3	24987840	24987885
chr3	85576540	85576598
chr3	89022204	89022379
chr4	57496736	57497094
chr4	69572666	69572760
chr5	33633068	33633349
chr5	8749430	8749536
chr6	157968552	157968791
chr6	91669323	91669694
chr7	108325651	108325690
chr7	34840441	34840523
chr7	42529828	42529876
chr7	53652454	53652516
chr7	62492904	62492958
chr7	66591117	66591188
chr7	84901643	84901787
chr7	85044461	85044762
chr8	62114979	62115284
chr9	118083786	118083925
chr9	42906092	42906150
chr9	6290441	6290520
chr9	94416732	94416795
chr1	813746	813871
chr10	68178133	68178152
chr11	110377559	110377942
chr11	94684339	94684389
chr12	12933430	12933761
chr13	86340006	86340155
chr16	55291661	55292027
chr17	15511160	15511215
chr17	6341622	6341691
chr17	68357353	68357666
chr2	147020559	147021017
chr21	9555534	9555598
chr3	102543347	102543396
chr3	151148511	151148666
chr3	55788540	55788645
chr3	59852871	59852961
chr3	84593264	84593335
chr4	18162380	18162746
chr4	190659684	190659723
chr4	49534127	49534616
chr4	74243652	74243701
chr5	89450755	89450865
chr6	13502812	13503131
chr6	142450080	142450291
chr6	162179800	162181338
chr6	74935465	74935601
chr7	8018055	8019123
chr8	83740673	83740708
chr9	45392890	45393259
chrX	111557642	111557839
chr11	134305532	134305705
chr20	29444798	29444849
chrX	120842883	120842969
chr10	110453451	110453489
chr19	45444662	45444703
chr20	29437954	29438061
chr7	110484723	110484772
chr9	70568393	70568448
chr13	42771373	42771411
chr16	17755107	17755362
chr2	178676183	178676296
chr3	41601152	41601283
chr5	154873911	154873960
chr8	4452847	4452941
chr8	5829159	5829406
chr11	43356922	43356962
chr21	16928806	16929171
chr9	100675503	100675580
chr1	192262103	192262342
chr5	20835027	20835081
chr3	109751674	109751797
chr8	87314960	87315074
chr14	36674704	36674769
chr5	33797493	33797623
chr14	28301234	28301271
chr6	45852689	45852714
chr1	42483941	42484003
chr13	91625635	91626256
chr14	52667339	52667882
chr15	23743495	23743732
chr15	34031819	34031852
chr15	56251125	56251200
chr16	6793771	6793985
chr18	27219163	27219215
chr2	35879337	35879362
chr2	36570210	36570260
chr2	58059935	58060122
chr2	82097855	82098061
chr20	25895450	25895505
chr21	19517169	19517342
chr3	81990894	81991069
chr5	109479948	109480408
chr5	49427687	49427852
chr6	102845270	102846111
chr6	123647608	123647659
chr6	148195710	148195855
chr7	61778228	61778430
chr9	82082767	82082812
chrX	122664802	122664916
chrX	66982750	66982783
chr1	149308359	149308470
chr1	84833953	84834075
chrX	119892799	119892843
chr21	9565331	9565613
chr13	61461172	61462419
chr6	96641865	96642011
chr11	98196282	98196308
chr1	75192730	75192946
chr11	58171759	58171882
chr13	107436401	107436440
chr14	39874863	39875104
chr14	59218629	59220429
chr16	32103535	32103937
chr19	27868574	27868615
chr2	235519608	235519954
chr2	97823801	97823848
chr20	25888545	25888639
chr22	44324573	44324632
chr3	101279608	101279757
chr3	176091302	176091363
chr3	38625167	38626154
chr4	103343690	103343778
chr4	132181621	132181673
chr5	10201699	10201776
chr5	21207714	21207802
chr7	107829249	107829306
chr8	131041084	131041265
chrX	76411848	76411900
chr4	70131204	70131254
chrX	122663125	122663344
chr6	123853579	123853962
chr1	83609691	83609773
chr12	126802915	126802941
chr12	28226376	28226461
chr16	33047176	33047244
chr4	104214636	104214832
chr9	43203045	43203070
chrX	14151912	14152021
chr9	32463851	32463921
chr6	32613219	32613523
chr11	48755809	48755938
chr12	43256811	43257023
chr12	47369590	47369659
chr13	79259698	79259808
chr13	85871420	85871692
chr15	37707740	37707917
chr2	132001164	132001256
chr20	41952040	41952112
chr3	193354106	193354213
chr4	86607914	86607964
chr6	77980547	77980724
chr8	102695430	102695558
chrX	129525186	129525307
chr18	74960007	74960114
chr21	14390160	14390214
chr4	127596063	127596230
chr4	138176500	138177389
chr4	147222224	147225611
chr4	47007692	47007870
chr7	70188609	70188729
chr21	9495819	9495872
chr12	101548757	101548943
chr12	8105584	8105662
chr3	143121636	143121805
chr4	80768509	80768631
chr6	32662271	32662317
chr7	52789432	52789477
chr8	67381820	67381919
chr11	104555967	104556235
chr12	11219088	11219208
chr13	72968645	72968727
chr13	91149397	91149436
chr13	104296172	104296368
chr15	28175684	28175831
chr2	87407658	87407720
chr6	102283392	102283822
chr6	68132055	68132366
chr5	49546163	49546328
