11	93346032
11	26575433
11	96715900
11	112577054
11	25364983
13	94581008
13	70679862
12	59124466
12	80935903
12	72475148
12	82486735
14	102145760
17	51340669
16	63352412
16	26400347
16	31798724
1	248254530
3	74813441
3	62591908
3	192999412
2	82555913
2	89488975
2	105379905
2	56555279
5	55794142
5	38129766
4	2123488
4	28082145
4	81356632
4	130683501
7	50062456
7	13177953
7	125264019
7	15820732
7	28485183
6	125114624
6	125736201
6	87694174
6	85007278
9	30099939
9	108294019
X	103084821
X	26643021
X	67090383
8	98576432
