11	37747982
11	24307955
11	19075853
11	21272011
10	93060169
10	64520397
10	133280257
13	74599119
12	88724729
12	97383555
20	22996642
14	66132426
14	76448485
14	84983671
22	18049638
16	59056825
16	9932916
19	51086638
15	87185209
15	21903068
X	28847592
X	35000592
X	79369987
X	128574771
X	95235343
1	198647904
1	34897349
1	59461575
1	189715802
1	99162236
1	169611966
3	147153800
3	117904688
3	6714353
3	1195669
3	133808086
3	74930334
2	161920321
2	170188868
2	227073377
2	117935463
2	189629357
2	211591911
2	7480016
2	129409555
2	6828921
2	164746404
2	147116783
5	11610072
5	160657176
5	12543002
5	103016579
5	116965726
4	147628001
4	116034631
4	101288744
4	135865866
4	176120939
4	65795886
4	59888439
4	116811099
4	17068316
7	88479145
7	11303775
7	36092643
7	54407301
7	153331693
6	159917370
6	156345918
9	24892489
9	125336684
9	119983628
8	49241080
8	55887225
8	77780402
8	124660844
17	58823728
17	33502119
