20	54660577
20	41541474
20	31605341
20	18348919
21	27999044
21	29360734
21	32637183
1	219911304
1	50384716
1	187017546
1	96645835
1	56729580
1	198685553
1	185250579
1	98779607
1	210489740
1	216392122
1	58147679
3	25081154
3	98632611
3	70513829
3	88589570
3	121717843
3	178382262
3	114886810
3	37278749
2	139772705
2	51537218
2	21906501
2	14120046
2	50471503
2	52265812
2	204359182
2	211459540
5	87297187
5	45963085
5	126477585
5	167088340
5	143635958
5	148544855
5	24342490
4	161913179
4	134476550
4	93910088
4	116200330
4	105194475
4	16578925
4	22366653
4	135139120
4	127869011
4	92699988
4	179611861
4	158383287
4	130463035
4	36553821
4	87023475
7	8662769
7	15353897
7	31724366
7	68220529
7	11263506
7	124199541
7	88662614
7	53651609
7	8808537
7	41208282
7	52880767
6	72135075
6	159707237
6	73097835
6	78877713
6	50578514
6	78831667
6	72142903
6	66857758
9	11183228
9	8558043
9	25087284
9	83559885
9	77360157
8	69975874
8	136968421
8	64601542
8	72862317
8	90296749
8	72527856
8	58788850
8	49552980
8	55091992
X	141501700
X	53962373
X	104555623
X	110512199
X	85539092
X	111056118
X	85405719
X	65057432
X	80026044
X	25221118
11	106238592
11	5606787
11	28057415
11	95385768
11	50500231
11	110459184
11	109012625
11	58408854
11	5209146
11	38538138
11	63110431
10	38425057
10	69279012
10	19085735
10	87542136
10	22214532
10	37156862
10	87727423
13	84734562
13	48003195
13	58558126
12	9388385
12	98360997
12	111377089
12	86275848
12	33804816
12	20231059
12	88332182
12	24721496
12	27478873
15	45004649
15	53464396
15	31335953
15	55316487
14	33963057
14	37526659
14	87924222
14	82387102
14	31256023
17	8993912
17	51445284
16	73902672
16	65631125
19	32422449
19	24084442
19	57481919
18	40769408
18	53877730
18	26075657
18	66542242
18	26209041
18	73750488
