11	122212556
11	79100146
11	49992212
10	61194342
12	127854943
15	39208250
15	24366285
14	58282548
16	86489688
16	61702666
18	7783085
18	62660222
18	14686575
20	47199439
1	5141969
1	218338717
1	50994119
3	20141444
3	84086155
3	79252500
3	79100629
3	127010934
3	173550456
2	156258117
5	79881728
5	84034249
5	104798887
5	120858453
5	122292455
4	66567155
4	66101284
4	155794045
4	21364231
7	112992651
7	3526509
7	108460227
7	85104181
6	51305232
6	81799517
6	126426838
9	119838186
X	29956295
X	38057289
X	44243339
X	122559949
X	133516141
X	108665046
X	11808924
X	95345725
8	113100930
8	78271004
8	23735301
8	83867197
