11	6010081
11	118429672
11	41867755
11	10656300
11	100907566
11	19450159
11	37988479
10	87194753
10	92882789
10	108358405
10	101034613
10	12757723
10	58490525
10	59590565
13	83781395
13	103881940
13	56037995
12	33774762
12	55774607
12	91405777
12	73415128
12	41146297
12	83890204
20	51462714
20	6917508
20	47831917
21	23056122
21	27996066
17	21938400
16	7452813
16	48883807
19	22146593
18	67522296
18	69508138
18	58665246
18	57838038
18	73752910
X	69145649
X	101324570
X	89520203
X	145594116
X	103813685
1	96776472
1	194405712
1	77757861
3	23574112
3	77707088
3	36462276
3	132535879
2	161671840
2	218467184
2	83511752
2	197264905
2	21364074
2	144417775
2	100936656
2	132396648
2	81513203
2	104908415
5	113571473
5	144244915
5	87099508
5	62491765
5	129075423
5	158297397
4	18211232
4	127188109
4	126598168
4	18666418
4	130328147
4	42212533
4	112910616
4	164169851
4	138051868
7	70763429
7	120250345
7	132036078
7	55698703
7	12969394
7	48838040
7	40311163
6	75549272
6	118345577
6	98397955
6	77164599
9	37306422
8	119664513
8	116427715
8	107296776
8	92451950
8	107813264
8	68753138
8	91829395
8	83588788
8	80243318
8	52326494
14	82245121
14	26724555
14	58214116
14	29372422
14	49391367
14	80344459
14	94148619
14	104923322
